seq00408	UniRef90_A0A496S2J2	46.5	43	23	0	29	71	6	48	8.51e-04	45.8
seq00412	UniRef90_A0A9D8CQU1	67.5	83	27	0	2	84	56	138	5.84e-23	100
seq00420	UniRef90_A0A524RMU7	60.5	38	11	3	24	60	356	390	5.01e-05	49.7
seq00421	UniRef90_UPI001EE9F70E	50.0	56	23	1	1	56	1	51	2.72e-06	51.6
seq00428	UniRef90_A0A2P9H041	40.0	55	33	0	5	59	29	83	3.26e-06	51.6
seq00437	UniRef90_A0A426YDA5	64.2	67	24	0	10	76	5	71	1.84e-25	99.8
seq00438	UniRef90_A0A7C0Y8X4	76.0	25	6	0	32	56	384	408	1.19e-02	42.4
seq00442	UniRef90_A0A7X8TG33	38.2	55	34	0	18	72	14	68	1.94e-05	49.7
seq00443	UniRef90_A0A2N9IDC3	56.1	66	24	1	1	66	1	61	1.60e-12	70.5
seq00448	UniRef90_A0A4R1RQ52	40.0	80	42	2	5	80	2	79	4.23e-08	58.2
seq00452	UniRef90_A0A1V2LSE4	48.0	50	25	1	10	59	26	74	9.82e-09	59.3
seq00470	UniRef90_A0A2U3RBA2	45.2	42	23	0	25	66	141	182	8.40e-03	43.1
seq00477	UniRef90_A0A956QU74	50.7	71	35	0	2	72	8	78	1.06e-14	73.2
seq00482	UniRef90_UPI00223CBF4B	53.3	30	14	0	19	48	947	976	1.27e-03	45.1
seq00491	UniRef90_A0A3N5S9W0	39.3	61	36	1	14	73	15	75	1.44e-03	43.5
seq00503	UniRef90_A0A970TCY8	38.2	55	34	0	5	59	1	55	2.35e-06	49.7
seq00504	UniRef90_A0A7V1HWS6	48.6	70	36	0	1	70	242	311	3.08e-13	72.8
seq00514	UniRef90_A0A2P4SLT4	53.7	41	17	1	29	67	8	48	9.67e-09	56.6
seq00520	UniRef90_A0A7V5RN10	38.0	71	41	2	3	71	2	71	4.89e-06	49.7
seq00523	UniRef90_A0A7K0EFM4	43.4	83	44	2	1	81	2	83	5.29e-13	72.0
seq00524	UniRef90_A0A957VSZ0	59.7	77	28	1	4	77	1	77	2.97e-21	90.5
seq00527	UniRef90_A0A7Z1DXR4	51.9	79	35	1	4	79	2	80	1.01e-13	70.5
seq00532	UniRef90_Q8YN14	38.6	70	42	1	4	72	402	471	6.96e-10	63.2
seq00542	UniRef90_A0A4Q6F520	31.7	63	43	0	14	76	164	226	3.23e-02	41.6
seq00544	UniRef90_A0A2J0N134	54.8	73	33	0	3	75	6	78	5.31e-21	91.3
seq00556	UniRef90_A0A927UMY1	46.2	78	42	0	1	78	1	78	8.33e-16	77.4
seq00562	UniRef90_A6VR92	45.8	59	31	1	3	61	54	111	1.66e-06	53.5
seq00567	UniRef90_U5ELW4	46.2	52	27	1	18	68	40	91	2.22e-03	44.3
seq00570	UniRef90_UPI001122FE25	47.9	73	33	3	2	69	9	81	5.11e-04	46.6
seq00576	UniRef90_A0A378ZR31	51.4	74	35	1	3	76	8	80	2.24e-11	67.4
